CASE-NBR,CASE-NBR-OBLR,MAILG-LVL-CLIENT,MAILG-CDE-CLIENT,NME-FLDS-BORR-CNT,ADRS-FLDS-BORR-CNT,NME-OBLR,NME-ADRS-OBLR-1,NME-ADRS-OBLR-2,NME-OBLR-KEY,NME-ADRS-OBLR-3,NME-ADRS-OBLR-4,ZIP-CDE,RACE-DESC-CDE,SEX-CDE,MRTL-STAT,TAX-EXEMPT-CDE,VET-CDE,DUE-DAY-PYMT,APPLT-TYP-CDE,NET-WORTH-AMT,LN-NBR-LST-ASGD,RCRD-LN-CNT,LN-CNT-EE,LN-CNT-OTC,LN-CNT-INSRD-FO,LN-CNT-DIR-FO,LN-CNT-INSRD-SW,LN-CNT-DIR-SW,LN-CNT-INSRD-RH,LN-CNT-DIR-RH,LN-CNT-INVSTR,LN-CNT-ASSOC,SUSP-CDE-ACCT,DTE-LST-RGSTR-ACCT,RGSTR-TYP-LST-TRNSCTN,SIS-TRF-CDE,EMPL-RELTNSHP-CDE,LRTF-SRVCG-CDE,MAILG-OFC-FSA,MAILG-CDE-FSA,ORGZTN-CDE,DTE-OAC-ESTBD,DTE-OAC-RSLVD,DTE-OAC-MRTM-EFCTV,PREVL-INDCTR,NBR-COMPLNTS
060710006777032,20019,T,06099,2,2,Laila Joyce,447 Medical Center Expressway,Brady Malone,O50NJWSCWQFQ61VIIH31,Hendersonville,Delaware,57275,4,1,1,1,4,09,2,1789683.17,87,04,0,1,1,0,0,1,1,2,0,0,1,2017-05-22,08,M,Y,3,D,06043,E,2013-03-02,2011-03-24,2015-06-19,4,T
060810008255166,20061,S,19000,1,3,Ira Travis,694 Halyburton Boulevard,Logan Conrad,B7PK2VEBITY90TK2M4VU,Temple,Kansas,01190,4,7,2,1,1,10,5,4445346.04,34,02,1,1,0,1,0,1,1,2,1,2,0,2018-07-03,42,E,Y,7,S,08015,Q,2003-01-22,2007-09-08,2017-09-18,4,N
191470008184947,01031,T,20031,1,2,Buddy Kramer,1172 Nauman Ranch,Tomi Petersen,UINZAJPQN7ZFMQ93SWU0,Medina,West Virginia,56609,1,7,1,5,3,01,5,4838148.04,17,02,1,0,1,1,0,0,1,1,1,2,2,2016-01-18,56,X,E,3,U,01025,Q,2013-03-15,2005-07-02,2019-07-04,1,P
060630002953313,06027,D,01133,1,1,Earl Tyler,1145 Benton Gardens,Alfred Boyd,2IY2NM4IYWJCZM4CP3I8,Cortland,Idaho,94358,6,6,2,3,2,13,1,2567718.79,34,05,0,1,0,1,0,1,0,0,1,0,0,2015-08-04,72,C,D,8,C,05125,V,2009-07-14,2006-12-08,2016-06-02,1,T
010690001024289,19113,S,20085,2,3,Faustina Giles,77 Clipper Terrace,Eliseo Brennan,BJNMJ642XCKMAXKZODAN,Rosenberg,Arizona,90554,3,3,1,1,2,15,8,2276212.49,11,04,1,0,1,0,0,1,0,2,0,0,2,2021-06-17,40,F,V,2,V,19071,T,2006-02-02,2010-05-02,2018-12-11,3,H
200890004010959,08051,U,06031,3,2,Toney Atkins,1087 Black Arcade,Raul Velasquez,9U3B1OERC9G5NCOB7A44,Warren,Maine,75545,7,4,1,2,4,23,4,1719383.55,68,01,1,0,1,1,0,0,1,1,2,2,1,2015-02-26,16,B,W,5,U,01063,E,2009-07-30,2014-03-09,2016-01-26,2,P
191290003018941,08019,S,19143,1,2,Lee Shaffer,412 Cosmo Drive,Ethyl Weiss,GA1DHBL4NA4HSSVDCPW4,Wildwood,Illinois,20533,8,8,1,1,3,07,2,2049638.92,89,02,1,1,1,0,0,0,0,1,0,2,1,2011-04-24,70,M,J,8,U,05129,I,2005-08-26,2007-11-18,2019-06-15,2,G
210450002095386,06043,D,05000,3,2,Shu Frye,1102 Battery Crosby Trace,Many Carroll,3104WUKZ5ZMIJOGIBS3F,Cutler Bay,California,48225,8,7,2,4,2,03,2,942162.09,69,03,0,0,0,1,0,0,0,0,2,0,2,2015-04-22,45,X,X,5,T,01025,H,2009-05-13,2016-06-20,2017-06-15,4,W
060150002767102,08061,C,01000,3,2,Tommy Potter,399 Burgoyne Field,Sandie Downs,RFHJYBC3GYC7VHCA6VGT,Quincy,Rhode Island,14069,7,1,3,2,1,25,3,4844349.54,35,02,1,0,1,0,0,0,1,2,1,2,2,2019-01-29,72,N,E,3,C,06093,J,2011-06-27,2015-05-04,2017-04-25,3,T
051410002728371,21001,S,19159,3,2,Paz O'neil,89 Mount Crossing,Brent Webster,1XA57UWOLFQ2HY2H17BE,Miami,Oregon,48034,8,1,2,3,2,21,6,4160914.37,64,03,1,0,0,0,1,0,0,2,0,0,1,2020-04-19,43,I,A,8,T,19079,P,2009-11-30,2006-01-11,2017-05-09,0,S
190490006822820,08069,T,21045,3,3,Elenora Bradshaw,989 Lapham Viaduct,Antonio Mercer,TZUBYE2VSTTW1BHKZZOD,North Olmsted,Vermont,04343,5,6,3,1,3,20,4,3574491.16,52,01,0,1,0,1,1,1,1,0,1,1,1,2016-10-16,56,W,E,8,C,01015,C,2008-09-11,2015-06-12,2015-05-09,0,L
010350005523333,08075,V,20123,2,1,Lauryn Wilkins,205 Dow Place,Lanora Carlson,TWJIY7SE9Q833YU6E4LK,Clarksburg,Hawaii,85894,7,8,3,1,2,22,7,1240312.76,46,04,1,0,0,0,0,0,1,0,1,0,1,2016-08-01,28,X,C,8,S,06037,O,2001-06-19,2007-07-13,2017-08-11,2,H
211750008574525,05147,V,20001,2,2,Brady Crane,305 Hillside Hill,Hubert Fitzgerald,FV1KWKXF851WXBEOB8KU,Kansas City,Vermont,96768,5,8,1,1,1,15,5,3216901.77,32,04,0,0,1,0,1,0,1,1,1,2,0,2016-05-12,63,U,D,2,S,20039,V,2004-01-14,2008-03-29,2019-06-18,1,S
060000007707692,21197,T,19123,1,3,Delmy Parks,1263 Gladeview Park,Isaias Garner,EO7X5OHPTOFE6EVE32CC,Houston,New Jersey,21590,4,6,2,3,3,24,4,2286461.62,89,02,0,0,1,0,0,0,1,0,2,2,2,2019-04-15,15,S,G,2,C,20133,E,2013-07-29,2011-09-24,2020-04-11,3,V
190530005477032,05069,U,05051,2,2,Katrice Howell,923 Rivera Hill,Margit Carney,4E9WLK3PCXQLB4FS2YA2,Garden City,North Dakota,52102,5,2,4,5,2,01,7,2038682.48,58,01,0,1,1,0,1,1,1,2,0,1,2,2019-10-22,66,L,C,7,D,05099,Y,2013-09-02,2014-02-20,2020-03-13,0,S
201790003653729,19039,U,21133,3,2,Sandy Calhoun,618 Cassandra Place,Yajaira Kaufman,JRZ20CH1BB8FTLE42QPQ,Los Gatos,Texas,25541,7,8,3,5,2,22,1,708518.64,73,04,1,1,0,0,1,0,0,2,0,1,2,2021-11-08,18,I,X,8,V,19013,W,2013-11-19,2018-09-19,2015-03-05,2,P
201230007399766,21143,C,08085,3,2,Irish Wise,175 Caine Lake,Emilee Allen,G5F20FVPT4WMFGGXYTJW,Jonesboro,Nebraska,09630,1,7,3,2,1,17,2,1440829.04,67,01,0,0,1,1,1,1,0,2,1,1,0,2018-04-19,86,N,W,6,C,19057,B,2001-09-16,2006-04-21,2020-10-22,2,T
060170007648479,05005,U,05049,2,2,Reagan Suarez,787 Clipper Cove Grove,Lucas Porter,YT4ULNT66C222SV98T9U,Skokie,New Jersey,02845,4,4,1,2,1,28,4,2378230.12,43,05,1,1,1,1,0,1,0,1,0,0,0,2021-08-24,54,X,Y,3,D,21205,F,2003-08-10,2006-03-31,2017-12-26,4,M
211850008708703,19197,S,20059,1,1,Jean Weaver,1330 Treasure Island Shore,Salvador Beard,L7R8OF9D8Y6PTBSSIAXV,Butte-Silver Bow,Kansas,39482,4,7,3,1,1,25,3,4212164.95,45,04,0,1,0,1,1,0,1,2,1,0,1,2011-06-27,34,I,A,6,U,21069,O,2006-12-07,2007-05-14,2020-11-06,1,Q
201370001307942,20161,U,21067,3,3,Diedre Barrera,959 Cross Pine,Bronwyn Santos,EFM280MJII1SVQBU523W,Russellville,South Carolina,44074,5,1,2,1,3,23,3,1170393.83,20,00,0,1,1,1,0,1,1,1,2,0,0,2015-11-20,50,O,E,3,T,20141,R,2012-08-22,2013-06-10,2017-05-15,0,J
010850008511010,20067,T,08061,1,3,Saran Nixon,337 Armistead Avenue,Lesha Chen,DKYH2J7VC2WBYK7AYXOG,Grandville,Massachusetts,34459,6,8,3,3,2,25,6,3110020.85,52,03,0,1,1,0,1,1,1,0,0,2,1,2013-09-11,06,M,R,4,S,01049,T,2011-11-02,2009-03-31,2018-04-26,1,B
201950008267195,19021,C,20153,3,1,Cammie Dunn,609 English Viaduct,Sherman Mills,M9D5YBBVIAS42P8ADQX5,San Antonio,New Hampshire,21147,1,1,4,5,3,20,7,4073696.04,46,04,0,1,0,1,1,0,0,0,0,0,0,2021-07-31,04,P,N,8,V,05147,C,2008-10-22,2010-12-29,2016-11-06,3,H
061130007820000,21125,V,19055,1,3,Porter Lucas,830 Black Garden,Doretta Dillard,Z0JSGVAJBVD72UBXAM1K,Zanesville,Oklahoma,05450,6,4,4,3,1,08,5,945385.58,36,01,0,0,0,1,1,0,0,0,1,0,2,2015-06-06,33,N,C,7,D,08000,L,2000-09-08,2019-08-02,2019-10-02,2,S
201510004329084,21139,D,21081,2,2,Bari Boyer,429 Brady Pike,Porfirio Crane,GOJ3MA6Z2AICSBZRGRMA,Grand Island,Texas,12794,3,5,3,4,3,15,6,3519170.07,83,02,1,0,0,0,0,0,0,0,2,2,1,2017-05-11,52,V,W,2,S,19007,L,2000-03-27,2017-10-11,2020-12-15,4,P
010190007820781,19031,V,01101,1,3,Calvin Hansen,781 Adele Walk,Anjelica Riley,TQRD1CSW2G57GR3ZURE6,Olathe,Nevada,92385,7,8,4,2,2,18,2,4310577.96,34,03,0,0,1,0,1,1,1,0,1,2,2,2015-04-11,17,Y,N,2,V,19025,F,2000-04-18,2014-10-06,2019-11-27,4,G
050410005022922,21017,C,20149,3,2,Taren Eaton,485 Stanford Heights Estate,Carli Schroeder,15A08HQSMKYEF5FA2I93,Livonia,Oklahoma,95452,1,2,1,3,4,02,6,1754772.46,82,05,0,0,0,0,1,0,0,1,2,0,2,2016-10-16,85,D,V,8,V,19095,M,2007-05-01,2012-06-16,2020-04-16,4,V
080770005173203,01123,T,01031,1,2,Celena Mullins,529 Espanola Landing,Virgen Fleming,2QFAJL3JLFUIBJ82BYS0,Brook Park,Wyoming,18703,6,4,1,5,2,08,1,1322402.98,38,03,0,1,0,0,0,0,1,2,2,1,2,2012-02-16,48,L,L,6,D,06085,E,2010-09-05,2008-09-26,2016-08-20,0,D
050290003791566,21111,T,20095,1,3,Felix Bolton,1223 Bernal Heights Lane,Thomasine Head,6CGGOSNAXVEQVV3E385G,Goldsboro,Arizona,67506,1,2,3,4,1,22,4,1080548.28,32,00,0,1,0,1,1,1,0,1,1,1,1,2014-06-20,83,L,L,7,T,21091,T,2014-08-14,2019-09-12,2018-03-04,4,T
191210007908285,01011,D,08025,2,2,Francesco Rodriquez,1254 Helen Park,Nikole Cooper,7UXHEFR3DKAO6MTGHK5I,Tuscaloosa,Texas,38359,8,8,1,4,4,13,8,2722821.08,42,04,0,1,0,1,1,0,1,1,1,1,2,2012-01-02,82,O,W,8,S,08033,E,2007-03-27,2009-05-26,2017-04-24,3,I
211730005056710,01087,C,08047,2,2,Blair Dean,1322 Cross Park,Tyesha Burris,06WV23HY7CP1STDUE294,Titusville,Virginia,20510,7,4,3,2,2,13,6,2762813.63,47,03,1,0,1,1,1,1,0,0,0,1,2,2012-08-06,80,F,U,5,D,21019,O,2011-04-03,2010-12-07,2019-08-26,2,T
080170006278259,01095,S,19141,2,1,Jarred Lynn,585 Pizarro Square,Aubrey Olsen,3T3XNVH36H0SNMB18D16,Hurst,New York,34497,5,1,2,3,3,23,2,3608324.45,56,03,0,0,1,1,0,1,1,1,0,0,0,2017-05-25,52,P,B,6,C,06045,E,2004-02-12,2018-12-05,2018-07-04,3,E
010310007688941,08039,S,04015,3,3,Shaunda Fleming,484 Randall Alley,Vanita Lucas,CO3I6Q6MSVGWT6G79CNG,Collierville,Idaho,09149,4,3,1,1,2,01,5,580974.44,48,00,0,1,0,1,1,1,1,1,2,1,2,2021-01-04,24,P,S,2,U,21049,P,2002-01-01,2005-12-15,2017-04-06,4,D
060730004283504,06045,S,19103,3,3,Karima Bradley,972 Decker Parkway,Eloy Morrow,PRDDE50VM6NRT6D88A08,Shoreview,North Dakota,81519,6,7,4,5,2,02,1,4479887.33,56,01,1,0,0,0,1,0,0,1,2,0,2,2012-09-03,63,W,V,6,T,01035,Y,2009-06-20,2014-03-23,2017-05-18,0,X
050950003849993,20043,V,19037,3,2,Tobie Gibbs,8 Ivy Expressway,Robbie Farmer,1YZ6VWB1VG6O4OBEM2C5,Easley,Idaho,67098,8,3,2,5,2,22,5,3087161.61,81,03,1,1,0,0,1,0,1,2,1,1,1,2019-12-09,47,L,H,3,U,19193,M,2010-12-23,2014-04-15,2019-11-19,2,B
051130003920324,19133,S,08071,2,1,Bronwyn Knox,628 Austin Arcade,Florinda Griffin,MN1UQKA1I6WW2DB9QK1D,Zanesville,Alaska,87870,7,7,1,3,4,26,8,1115484.1,17,04,0,1,1,0,0,1,0,0,2,2,0,2011-10-19,47,F,X,3,U,21207,T,2006-03-11,2010-12-09,2015-08-22,0,W
060430002185024,04009,S,04011,2,2,Lauren Mitchell,26 Dormitory Lane,Emory Garcia,9GNIPI3KXFJ3K8JMJM4V,Pittsburgh,Mississippi,84745,6,6,1,3,1,27,2,909262.42,65,01,0,1,0,0,0,0,1,1,0,2,2,2014-12-29,16,O,R,6,S,05051,L,2011-06-23,2016-04-01,2015-07-03,4,B
212190006195509,01129,V,19079,3,3,Alphonse Mercado,1258 Emery Lodge,Ehtel Reeves,NHQ94JUO69FF8B671PCP,Freeport,Rhode Island,99439,2,1,2,5,3,17,3,4040546.51,32,04,0,1,1,0,1,1,0,1,0,2,1,2015-02-25,75,T,H,5,D,20179,U,2009-05-03,2006-02-02,2016-06-09,2,Q
190450006004502,21133,U,20005,3,2,Brenton Weaver,1181 Mangels Junction,Lisabeth Herring,OAPQOGZPC4OLOJGZFRVY,Goodyear,Minnesota,78522,3,8,4,3,1,21,4,2554159.97,46,00,0,1,0,0,0,0,0,0,2,1,1,2013-11-16,02,A,R,8,U,21201,N,2012-07-10,2008-11-13,2015-08-20,4,I
200050004888789,20057,S,20077,1,3,Denver Navarro,253 Sherwood Hills,Cordia Gallagher,Z4EH6SK4O457LVEDBOA5,West Linn,Wisconsin,67530,7,3,4,1,2,16,6,2208879.88,69,01,1,1,0,0,0,0,0,0,1,1,2,2014-02-27,69,V,A,3,T,19163,N,2010-11-10,2014-07-31,2018-05-06,2,T
190950005443518,01073,C,19185,3,1,Clayton Fitzpatrick,993 Issleib Trail,Charles Montgomery,HGNJ4V93FOTNUUPU2EBD,Chicago,Kentucky,09884,4,5,4,1,4,24,6,200884.69,83,01,0,1,0,0,1,0,1,1,2,0,0,2016-03-26,11,P,G,8,T,21139,U,2012-07-14,2017-12-12,2017-08-11,4,H
011010004490498,20209,C,21129,2,3,Thao Shields,56 Espanola Terrace,Hank Sullivan,F90OJNW83AJ0JIHNF0D4,Kearny,Oregon,43132,6,8,3,3,2,27,7,539026.21,51,00,1,0,0,1,0,0,0,2,1,1,1,2011-05-16,54,S,K,8,C,08061,B,2013-01-04,2014-04-15,2020-01-09,3,P
210090002280908,21191,D,01129,2,1,Raguel Bass,1006 Fairfax Lodge,Gustavo Woods,C30M15HCK8U0HJUW2KCO,Conroe,Pennsylvania,45278,2,6,3,4,1,01,7,4781232.98,89,02,0,1,1,1,1,0,0,2,0,1,2,2012-09-02,46,R,O,5,V,19073,V,2013-11-25,2015-10-18,2018-09-22,4,E
011310001856650,05029,U,08125,1,3,Gilberto Hawkins,505 Cerritos Station,Marceline Richard,833G4V5UY8ZD4FOWGI6T,Moorpark,South Dakota,57965,4,2,3,3,3,16,8,2440514.26,32,05,1,0,0,0,0,1,1,1,0,0,1,2012-05-23,85,R,R,2,T,19193,E,2005-05-18,2006-07-29,2016-09-18,4,U
201930007717721,21069,S,20075,2,1,Lincoln Mcfadden,489 Hill Ferry,Vivien Zimmerman,Z0LMPPOAIW0TX6ORRY7R,Hoboken,Mississippi,60132,2,6,1,3,1,14,4,740293.57,11,03,1,1,1,1,1,1,1,1,1,1,1,2017-06-05,83,U,C,4,D,20163,R,2007-06-06,2017-11-13,2017-12-03,2,K
210970008107665,05031,V,21237,2,1,Eliana Fulton,1197 Gaviota Spur,Darnell Barrett,MPMTNFXZXVGTU6YL5GWS,Newburyport,Rhode Island,34994,8,1,1,3,3,09,5,3510194.48,57,00,1,0,1,1,1,0,1,2,0,2,1,2017-05-09,78,I,X,2,V,19069,C,2007-09-21,2017-10-01,2017-10-04,2,V
080930001706976,05053,V,20135,3,2,Danika Campos,747 Hooker Court,Natisha Frederick,KBOPD0WCUN431MZ2598P,Roseburg,Mississippi,91090,7,5,1,3,3,07,5,2508106.02,57,03,0,0,1,0,1,1,0,1,1,0,1,2018-08-21,78,K,T,2,S,06075,U,2003-10-23,2011-08-04,2019-06-06,3,J
060470008631591,21023,D,20109,3,3,Curt Hess,294 Vista Verde Lodge,Vaughn Willis,W96JUKKTZLXNFJP61JRJ,Mason,Kansas,29727,3,4,2,5,3,06,6,2846896.6,66,04,1,0,0,0,1,0,0,1,0,0,1,2011-10-26,18,Y,W,2,V,05133,Y,2007-02-19,2017-06-20,2019-11-07,4,T
050950007902113,20079,U,06015,3,2,Leopoldo Lott,1346 Toll Plaza Tunnel Path,Franchesca Richmond,G0G8N7W0AIFILE9S5D8Z,Lisle,Minnesota,87227,7,4,2,2,3,11,7,2209071.46,62,05,0,1,1,0,0,1,1,1,2,0,1,2016-08-28,69,S,B,8,T,08003,M,2013-01-04,2017-03-27,2015-09-02,2,S
201530003734462,21217,C,06013,2,2,Arlen Cantu,925 Brewster Expressway,Signe Raymond,QSER5Y9XH7D2TNE8R3RD,Wilsonville,Texas,53563,1,3,2,1,3,22,7,4804492.13,18,03,1,1,1,1,0,0,1,0,0,0,1,2017-06-05,29,K,H,5,T,05135,I,2004-12-19,2015-09-18,2017-09-12,3,R
190370008684688,20043,U,01043,2,2,Loris Ruiz,419 Pico Drive,Matthew Howard,6FGEEXARLM9P3GD6YRDM,West St. Paul,Missouri,78659,2,7,1,5,3,13,2,3821137.89,40,05,0,0,0,1,1,0,0,2,2,0,0,2017-08-27,79,E,S,4,S,08115,X,2007-09-03,2015-03-17,2019-02-03,1,N
200930008486435,21187,D,01097,1,1,Nubia Peck,501 Jarboe Bridge,Elenora Merrill,W2D1HDYTQADQ6ZW6Q056,Manhattan Beach,Arkansas,13925,2,7,1,3,1,17,3,1202926.32,75,05,1,1,1,0,1,0,1,0,2,1,2,2018-08-30,03,G,V,6,U,21135,S,2008-08-05,2011-05-11,2017-05-24,4,Q
200450004355879,08029,V,06025,1,1,Donnetta Scott,461 Dudley Hills,Keira Boone,RWFIPIJDQBOU6XXYQI0M,Redwood City,California,16162,3,5,1,3,4,24,8,3897641.28,38,00,0,0,1,1,0,0,0,0,0,1,2,2015-02-12,87,O,J,5,T,19175,O,2012-04-19,2008-06-23,2016-02-09,1,A
200710001016004,21045,D,05089,1,1,Mertie Clarke,303 Santa Ynez Grove,Keven Snider,3J53JOGXXLZSIB4F81XB,Pontiac,North Carolina,37952,6,1,3,1,2,09,7,3519614.39,22,05,1,1,1,1,1,0,0,0,2,0,2,2014-05-24,77,R,H,7,D,05000,W,2000-07-21,2015-04-05,2015-11-01,4,K
060000001682169,19153,D,05073,1,3,Al Ashley,406 Rudden Freeway,Lane Estrada,OBWP01255EI9I813IV06,Valparaiso,Hawaii,32539,3,3,4,3,3,27,3,179140.12,37,04,0,0,1,0,0,0,0,1,2,1,0,2014-09-15,67,O,X,4,D,19037,S,2005-04-13,2017-08-03,2015-04-14,4,G
080210008754336,05017,D,20183,3,1,Genevive Wells,845 Nottingham Center,Dahlia Roberson,VQWQL6OUGLDCNUZJH7O6,Greenville,Alabama,96806,6,1,2,5,1,10,3,1442110.63,52,05,0,0,1,1,1,0,0,0,2,2,2,2018-11-18,05,F,C,2,D,05017,M,2006-02-28,2008-02-21,2020-01-03,2,W
200450005242460,20203,U,06025,3,3,Cherelle Douglas,922 Short Bayou,Apryl Valentine,9V08J3CM3EIQ821Q2L1K,Centennial,Washington,82052,8,7,4,5,3,13,8,1799426.04,42,00,0,1,0,0,1,0,1,0,2,0,1,2012-07-08,71,H,Z,7,U,19051,U,2011-06-15,2015-12-09,2018-08-14,1,L
200850007396270,20019,V,08063,3,3,Arthur Richard,516 Whittier Point,Jeneva Carr,SA5MEC5OI1K7771X632W,Reading,Nevada,40199,3,4,1,3,3,09,4,4779289.02,26,00,0,1,0,1,1,0,0,2,2,1,1,2017-04-26,25,R,T,7,V,21027,G,2014-05-16,2018-02-04,2016-07-26,0,R
080710006442678,05013,C,20199,3,1,Tiffaney Harvey,394 Bedford Green,Marvis Wright,A5PS710VSYZQVLT5D9QD,East Ridge,Iowa,02657,2,8,3,2,2,09,6,3707971.29,19,04,0,0,1,1,1,1,1,0,0,0,0,2017-02-02,37,G,Z,8,U,05059,Z,2012-06-29,2005-11-04,2018-12-02,1,S
050590008821495,20183,U,19113,2,2,Jan Keith,336 Natick Landing,Pasty Joseph,H8E1ZF53NVBXJPMSUCBI,Chicago Heights,North Dakota,08827,7,6,1,4,4,26,2,4343471.56,32,02,1,1,0,1,0,0,1,1,0,2,0,2018-05-08,30,R,J,6,U,21221,U,2005-10-13,2008-06-06,2019-12-14,0,C
200010005279669,19017,D,01041,1,2,Loreen Stewart,700 Woodward Expressway,Alden Knowles,XPAF4B0T7MOBA7Z81B7A,Hazelwood,Oklahoma,82916,6,3,2,2,2,25,4,4337717.34,82,01,0,0,1,0,1,1,1,2,1,2,1,2019-02-18,69,B,A,5,S,01011,S,2003-11-29,2015-09-24,2015-02-19,3,N
