RCRD-TYP,FD-CDE-2,ST-OFC-MAILG,CTY-OFC-MAILG,DST-OFC-MAILG,ST-CDE-OBLR,CTY-CDE-OBLR,ID-NBR-OBLR,LN-NBR,CR-REPT-FEE-CDE,NME-OBLR,ADVNC-MULTI-AMT,DTE-CK,APROPTN-CDE,GEOG-ST-CDE,FY,FED-RESV-ROUTE-NBR,CK-DIGIT-ROUTE-NBR,TYP-BANK-ACCT,DPSTR-ACCT-NBR,ENTY-CDE,CK-CNCLTN-CDE,FNL-ADVNC-CDE,DTE-LST-RGSTR-DTL,BLK-NBR
16,62,20,141,141,20,141,40483691,21,8,1.41004E+15,50078.76,70121,25,53,22,31719508,7,M,U3BPDFKUD3TTE1HWN,2,74,54,111119,1512
16,62,48,189,189,48,189,36392322,39,9,1.89004E+15,709884.16,102820,39,46,83,35218770,7,S,5YYAWOTDJ58K5QT23,47,46,71,11420,5299
14,42,47,79,79,47,79,45393697,38,8,7.90045E+14,1140.26,40423,62,21,62,88386781,5,C,COJAUBMSEEVEL8MPJ,99,10,52,73121,1614
11,42,2,68,68,2,68,14619831,87,9,6.80015E+14,-428.51,112513,8,45,61,62504943,9,B,XIKIV73QBPNUBR7X2,37,12,95,120120,3982
10,42,48,141,141,48,141,98274377,68,5,1.4101E+15,80697.49,101216,15,13,22,67482255,0,M,16XQ2BFCV87437MP0,9,67,53,60514,7371
17,62,5,117,117,5,117,57497106,48,3,1.17006E+15,-510820.21,11817,31,22,42,10637476,2,B,XC7H8H7LRYEL0C2PL,59,99,95,50122,2609
14,83,51,169,169,51,169,83549247,85,7,1.69008E+15,-94067.44,10218,22,19,42,53040002,7,B,D3PFVE5FVKUM9KXTB,61,16,72,100519,1732
16,42,37,133,133,37,133,52396495,19,0,1.33005E+15,659.55,10120,25,40,63,89504866,3,S,BJZ7PFU9DDN8UKOGI,12,51,76,102916,7873
13,21,37,39,39,37,39,60773180,39,8,3.90061E+14,8914.98,81917,93,16,22,28798855,9,C,OWTXVSIHKQVSAJTZA,16,75,71,100121,6144
16,62,13,65,65,13,65,73524505,4,1,6.50074E+14,-9612.5,120416,91,26,63,53530591,6,S,T3F17Q31G5BN7OV6T,14,35,8,102919,6149
10,42,29,229,229,29,229,82687659,16,7,2.29008E+15,227.67,110617,91,22,42,16392361,5,C,NLJJ8DNL6R4RL4BHB,67,35,46,122015,9921
20,21,42,45,45,42,45,38863789,88,1,4.50039E+14,-469368.5,120716,43,32,83,19547789,5,M,WJCDND8E3BD8POJV7,66,90,73,91615,4646
12,83,1,59,59,1,59,65530559,62,0,5.90066E+14,156747.1,12418,74,19,63,10634636,1,C,Z3QLDLYCS452FVXUO,19,20,32,42916,3272
15,42,20,111,111,20,111,82216577,1,6,1.11008E+15,21888.96,82119,75,18,83,69012004,6,C,NO82OGBNJOITPSPQU,67,81,59,71313,1828
19,42,42,73,73,42,73,94668099,46,2,7.30095E+14,-2116.9,42121,50,18,22,47058190,7,M,FSK54BE1BIRYDOZ11,25,56,95,110820,2380
12,83,38,81,81,38,81,25557473,2,8,8.10026E+14,2751.5,90717,65,38,63,85790756,3,B,Z1ONGHH863H28YX36,25,42,41,31720,4372
17,83,26,65,65,26,65,38973832,39,3,6.50039E+14,671374.64,30921,41,24,63,51537104,0,S,HDHFX9Q78483ZN6U5,26,33,2,121815,1614
20,22,13,195,195,13,195,11063957,19,7,1.95001E+15,633.71,101721,75,21,42,25054431,9,C,FEYDHE7SG3SSF1Z7M,78,79,15,10719,7064
15,42,26,139,139,26,139,73270262,9,3,1.39007E+15,452.26,102818,14,20,22,52413061,3,S,V7RSKBIGVU17SOJF1,37,50,94,122316,6504
19,83,48,201,201,48,201,42111461,56,9,2.01004E+15,53046.72,120415,62,45,42,19438332,9,S,602E5TNC5XT2QUAPQ,85,26,19,82315,6817
19,22,28,23,23,28,23,27742423,47,9,2.30028E+14,576072.19,101918,76,8,42,18915251,8,B,1IA0KLDCF3LVQNJLX,91,76,84,21017,5497
15,63,47,27,27,47,27,66171119,99,4,2.70066E+14,1710.22,41919,42,56,83,27822405,6,C,NC0JNRT1I3VRCH53G,91,83,72,70520,4178
11,22,29,9,9,29,9,48616972,48,5,9.00486E+13,-415.64,20213,67,12,83,72917060,8,S,3N25V8ELPRXL6S4G6,93,5,23,72113,8793
15,42,5,143,143,5,143,22093289,25,0,1.43002E+15,361886.88,81414,26,15,22,59060511,8,B,3MRBOZMGFBCCOPXDY,50,92,95,121216,730
10,63,28,157,157,28,157,16231061,26,0,1.57002E+15,9526.2,32414,62,30,63,59711413,5,S,Z7WIZOSWDD8Q48BQF,52,34,14,52119,4147
11,22,19,117,117,19,117,89116335,45,4,1.17009E+15,734215.39,20913,60,29,63,35100011,6,M,UKAOSTVOO43I7CSCR,55,61,86,92617,1484
11,63,38,1,1,38,1,35973108,70,1,1.0036E+13,-359.33,80321,53,30,43,99031745,2,S,XK2WCGVK4BWR3O7NN,8,57,76,31222,5840
10,42,31,173,173,31,173,76547218,93,4,1.73008E+15,5520.41,91020,97,45,84,50771171,3,M,32SQACTVXKOPH9EG5,5,2,18,121417,4176
10,63,45,5,5,45,5,25872762,37,7,5.00259E+13,749621.15,10923,46,42,63,47901303,3,C,J420Z721S8SM4NLPL,63,88,43,50715,4455
15,83,10,1,1,10,1,14412194,92,7,1.00144E+13,625800.49,82819,72,6,63,59357891,0,C,W1DIHJP4AVY32ILAP,64,3,29,71114,5888
14,63,48,401,401,48,401,42514774,48,1,4.01004E+15,22446.71,111918,3,21,63,90427312,8,M,FVLI23PF3L6SE09YL,73,34,78,52713,6352
17,42,13,201,201,13,201,91605401,2,9,2.01009E+15,-385698.27,82317,63,39,63,92032999,3,S,9L2XHTAWOFC7TU9WI,75,74,31,52113,5882
10,22,27,71,71,27,71,89359264,55,8,7.10089E+14,291037.88,12819,7,32,63,56440232,0,B,CXLNO6MGR9FSAVCG0,79,2,19,83020,4394
12,63,13,21,21,13,21,79173826,49,4,2.10079E+14,853.81,40717,78,35,63,70685367,0,M,KR67Y7713LFPPWJYI,82,74,45,32021,1602
15,42,46,85,85,46,85,18831229,74,9,8.50019E+14,-881981.36,93017,85,15,22,82803336,7,C,R891TD7AX9CWFTVIR,88,47,30,72019,7965
14,63,48,151,151,48,151,83940103,45,5,1.51008E+15,729891.27,82923,86,32,22,55457326,6,M,N2R4T73UQ87P290HJ,91,19,64,72515,3626
16,42,30,17,17,30,17,17101509,45,9,1.70017E+14,568539.99,50816,5,50,84,41979340,4,C,RYMEC485AEOODE1Q2,36,27,97,51514,217
15,22,19,137,137,19,137,50717590,15,6,1.37005E+15,-200.2,30915,7,23,84,58011339,3,S,GCAI146W47DND7TNY,38,45,7,50221,8669
18,22,37,191,191,37,191,20215650,28,0,1.91002E+15,-28791,31618,35,55,22,24882509,8,C,A6HFGM0SQZPLAS6L7,94,73,80,121614,3188
19,22,47,41,41,47,41,81338820,75,9,4.10081E+14,677.88,92522,5,44,43,97633583,0,M,0JDEBNDCOYD3SN1T8,45,87,89,40414,9087
13,63,51,157,157,51,157,99402618,91,9,1.5701E+15,51357.37,62614,27,23,84,19012720,2,C,FCF1GAIXUANVOYKYJ,43,9,47,53122,8066
11,22,13,83,83,13,83,16288707,48,1,8.30016E+14,583.44,20315,62,15,43,95306934,3,M,ELHDN94VJLZYSCWZY,52,47,66,22315,3017
11,63,37,11,11,37,11,56173135,78,8,1.10056E+14,395996.8,31019,32,29,23,53460845,3,C,P18H63M8X3E1PXEJY,7,47,56,112416,3402
15,63,51,173,173,51,173,82066599,67,2,1.73008E+15,126.23,72415,6,29,84,23870840,3,M,16M7RTHJLC8F2M8N7,54,64,27,52421,3806
12,43,40,137,137,40,137,52442760,42,7,1.37005E+15,33050.84,122618,61,41,43,61978997,7,B,2TRFTTN06T8WYH1F7,59,43,47,53014,593
19,84,1,71,71,1,71,34661551,87,2,7.10035E+14,9992.88,32023,79,18,84,50670735,9,S,HA7V7JLR5P7GA5T9X,55,8,97,42119,5085
11,84,48,41,41,48,41,45223890,47,2,4.10045E+14,435.1,101623,15,26,64,20648224,3,C,Q9R7J4N7HQYDBIT6P,9,29,87,60216,9033
14,84,19,79,79,19,79,93030362,8,6,7.90093E+14,46122.55,91619,56,26,64,86822010,6,S,3RVSU1VRAX97KD4EJ,10,18,26,72021,3220
14,22,29,137,137,29,137,76884079,6,1,1.37008E+15,9372.96,120614,42,10,23,31093609,3,M,0BA18ZV6UV9PM150W,15,95,12,111722,1829
18,22,17,99,99,17,99,77118324,76,3,9.90077E+14,59417.86,22821,22,6,64,55320519,6,C,6JOUJNPQXEGHT20SO,12,22,40,90913,3187
14,43,45,55,55,45,55,35164666,55,8,5.50035E+14,437885.32,32218,53,31,23,94322876,4,S,QF2EQT3UVKG56OTMH,17,54,14,10816,9228
20,81,8,7,7,8,7,50444148,68,8,7.00504E+13,679.41,60715,7,29,64,86371206,1,M,CTOTC732783K33M4T,14,31,2,120418,944
12,63,19,169,169,19,169,44223839,28,8,1.69004E+15,27040.62,71617,88,23,84,25227634,3,S,WI3QMVUQ17U5NLDOO,63,22,13,102016,8435
14,43,47,99,99,47,99,92019032,12,0,9.90092E+14,5103.39,52916,35,54,43,77696716,1,S,SGWN03XQ5ZMHUHFD8,68,41,47,113017,5679
19,22,12,113,113,12,113,23971117,63,1,1.13002E+15,-69140,92521,39,40,64,32574196,7,C,047CJC0HEUBYZ3U1T,17,24,2,80718,4816
14,43,49,55,55,49,55,77726066,80,3,5.50078E+14,-529620.87,101415,40,32,64,39072268,8,C,7TEQZKCRFJXG52QIK,19,69,55,50818,6129
16,84,35,15,15,35,15,41461726,84,6,1.50041E+14,812512.29,31317,46,21,23,91593122,2,M,HDVNF9BISV2OQK51X,26,28,40,22515,4973
10,63,6,19,19,6,19,19393454,27,9,1.90019E+14,94123.59,60420,99,45,43,45950270,3,M,RJ5LEGOC670OW2LXN,79,37,76,33119,2211
14,43,28,111,111,28,111,44806265,94,7,1.11004E+15,-799437.8,21421,55,26,23,15477572,8,M,DFOA4TEG88KDIX39O,35,13,69,122715,4109
11,43,17,95,95,17,95,59591296,20,6,9.5006E+14,64608.88,22213,33,32,23,59687382,5,B,FC39JFZSC0JHF97ZS,36,12,84,21718,3172
15,84,6,1,1,6,1,41258536,50,2,1.00413E+13,-54797.47,41315,47,30,84,58827386,9,B,N2YSMZMUKX5GAAUGJ,97,21,61,61519,906
14,63,19,87,87,19,87,70874007,91,5,8.70071E+14,431.19,53023,80,4,84,47706564,3,S,WDZ00W1COKXMNQHU2,98,80,38,30321,4324
14,43,12,17,17,12,17,90051617,26,2,1.7009E+14,793352.29,11020,30,35,23,67373854,2,S,LTCIRDC3ZGB5J09JL,58,21,42,20321,323
15,63,40,5,5,40,5,80053345,27,0,5.00801E+13,3102.17,101117,32,16,64,12895728,4,C,4MFSMZJ3IBAZ3I0J2,58,38,94,91416,7483
10,84,19,193,193,19,193,25070732,56,5,1.93003E+15,339001.54,101321,26,49,85,21951921,9,S,F2Z3D0F0ROI9TDLN0,7,3,77,112013,1155
14,84,48,425,425,48,425,24052749,52,6,4.25002E+15,801.39,110119,87,10,23,73275653,9,B,EFRECVSMEVEWXX47Z,64,19,16,32014,3059
17,23,21,231,231,21,231,61924478,8,5,2.31006E+15,-466.9,60622,10,10,44,89747824,1,S,I6PREOK7RTOWZ4DVH,16,6,17,112216,2944
17,84,48,455,455,48,455,86511390,16,4,4.55009E+15,11999.39,112415,18,1,64,65830641,6,C,QKE7JSX0UVQVJLNRW,64,60,30,52219,2063
15,23,17,97,97,17,97,49976787,49,9,9.7005E+14,-27026.41,91217,58,11,64,24632283,9,S,XRIE76IIHXITNIWQI,72,80,68,31613,8415
11,43,29,77,77,29,77,32971184,78,2,7.70033E+14,607.41,121518,42,50,85,11195160,5,B,BL8G9DP9WGJA0357Z,22,9,97,62414,9873
20,64,29,89,89,29,89,18551565,83,4,8.90019E+14,-127916.53,112613,49,19,85,67694585,1,C,HZKSV3VCRFATGF4SY,24,44,31,71720,4754
18,64,55,119,119,55,119,43165906,98,1,1.19004E+15,23536.8,63021,68,1,44,55539172,4,C,VBJLFL4WEEADCCB75,29,22,51,111117,9157
12,64,45,27,27,45,27,85206555,34,4,2.70085E+14,970.3,40322,28,25,85,45834238,4,C,NTQ7AXLQ6STYIWKWG,26,69,38,93020,7026
13,43,37,107,107,37,107,25948614,28,3,1.07003E+15,4673.73,90619,36,2,85,11287000,6,S,6QYMB96PM7XIF2CI5,28,96,52,71321,4575
20,64,21,107,107,21,107,77946733,36,3,1.07008E+15,450369.54,120613,19,47,23,58298644,4,C,SYOSVS82MHCS4WMFV,85,62,9,101116,5678
12,64,30,23,23,30,23,51805135,83,2,2.30052E+14,96614.19,122622,92,34,85,33269314,5,C,RLF6QKMOPBSSI2Y5A,31,95,13,10413,3627
18,43,6,3,3,6,3,66095539,83,8,3.00661E+13,-195.72,11521,5,48,23,65233632,4,S,A6H3HBECYVRG9ABE7,88,94,19,42016,8372
16,64,18,143,143,18,143,74626661,57,6,1.43007E+15,207035.48,11220,45,54,44,63452434,1,B,AERPD8VVTTVLUVQH0,37,17,73,72016,5442
13,23,13,119,119,13,119,66414573,60,1,1.19007E+15,-218.11,120214,29,32,64,49931826,2,S,KTA775KMJCCWMW3PT,90,59,79,32419,2607
17,84,19,101,101,19,101,39755731,19,4,1.01004E+15,-105.67,100816,68,53,23,82267213,3,S,O0TXDVIYI5WFBEUSR,99,45,53,70416,1772
15,23,35,59,59,35,59,32961090,33,7,5.90033E+14,-463180.53,72918,26,40,85,64964700,7,C,O7QFP4V9522T0UNCU,43,11,90,81122,6218
11,43,48,123,123,48,123,19077395,56,2,1.23002E+15,792.5,33120,38,4,44,23089596,5,S,74JZGOB72UFOEEX5E,53,63,72,61718,1673
12,23,45,59,59,45,59,91713891,14,5,5.90092E+14,-59041.38,22622,92,44,65,32200971,3,S,QV1KG7A7I8RIF84U9,2,49,40,110818,6392
17,64,48,483,483,48,483,23360016,4,9,4.83002E+15,984.71,90423,85,10,24,96021763,6,C,W8PWL4Y2D5RSUQAAF,8,12,36,60918,5431
14,84,17,79,79,17,79,67574637,52,3,7.90068E+14,34231.52,31117,99,55,44,37203043,1,B,346V4IGPMZYL4X1AI,59,95,86,82717,138
15,43,8,57,57,8,57,50463980,97,6,5.7005E+14,45764.13,12713,98,25,65,61189361,8,S,LM265UZ4T1RXPHXX6,8,35,67,21621,9863
13,43,6,63,63,6,63,70886521,72,9,6.30071E+14,576329.8,51118,72,29,85,89791302,1,B,MCEF6WVDZCJ6OHSF4,58,29,67,22216,5429
20,84,16,11,11,16,11,34282817,97,4,1.10034E+14,60721.61,31214,88,31,65,43748869,9,C,7ZIR9WN6ZZ8KHGFC1,11,17,31,50922,4449
10,23,20,149,149,20,149,70334928,36,9,1.49007E+15,16327.7,72014,66,40,24,19305374,4,B,V5GWARTYZ1FTZD5IF,17,39,1,82621,4226
11,23,27,69,69,27,69,80826268,58,4,6.90081E+14,77852.17,73023,4,37,85,60890539,6,M,SR93YSISI064P3N32,62,24,74,32120,5160
12,64,36,85,85,36,85,28541367,3,0,8.50029E+14,41622.7,41013,5,53,65,73538669,8,M,L803XRFMVHXYHEBQQ,15,6,24,41117,2393
20,23,28,15,15,28,15,60588189,80,3,1.50061E+14,6353.7,41917,84,45,85,77136329,6,M,M5VJ19D4MOGLC9V6F,64,20,81,91716,7376
20,84,42,5,5,42,5,89195277,87,4,5.00892E+13,2477.8,40819,56,24,24,61345925,5,B,RXZORJEKNJKD5YTQF,19,47,72,22013,9138
14,64,31,99,99,31,99,12946203,19,3,9.90013E+14,578130.26,81718,37,20,24,66939598,8,B,OWUVDS2TN8YL3VYF8,29,47,5,101013,60
16,23,18,75,75,18,75,89199850,29,1,7.50089E+14,1013.78,30718,83,40,85,23133325,5,M,KV258096VECAQI80R,76,48,96,42813,9915
11,64,48,427,427,48,427,52144869,17,1,4.27005E+15,313.37,42815,56,12,85,80676428,3,B,5V6U8VL4DHF96RFYI,88,6,54,92019,6183
18,44,41,21,21,41,21,57632626,38,8,2.10058E+14,-29143.44,72422,66,56,65,78646338,0,B,5DW3MYFBKCNRRB0TE,41,93,58,82321,253
10,64,17,203,203,17,203,44943707,25,8,2.03004E+15,5759.13,30819,62,2,24,98096932,6,S,YLTW4EJ7D1NSO7UEN,46,28,99,42113,5876
