RD-TAX-ID,RD-ACCT-NBR
162394918,7391
841867249,7392
966561011,7393
673699078,7394
706042810,7395
269013671,7396
658534896,7397
993487490,7398
420546400,7399
750572580,7400
491863908,7401
850029621,7402
907371911,7403
403869532,7404
678587259,7405
127361868,7406
551171784,7407
744245006,7408
851830858,7409
757112231,7410
252498827,7411
196232521,7412
504911607,7413
270712433,7414
241586898,7415
942872200,7416
452246241,7417
142933049,7418
650742707,7419
831519719,7420
930271385,7421
139127845,7422
351825705,7423
605216894,7424
266124343,7425
625517042,7426
773061254,7427
817400264,7428
364328642,7429
185877739,7430
886427939,7431
435681919,7432
608713367,7433
157629537,7434
296174147,7435
964776839,7436
618078155,7437
402255622,7438
858997864,7439
868463578,7440
525032040,7441
340756604,7442
148866695,7443
664243565,7444
727679060,7445
115171396,7446
680611973,7447
549757141,7448
686265827,7449
368456373,7450
471884571,7451
782703252,7452
981247544,7453
610325087,7454
916912639,7455
653452274,7456
279162921,7457
497202545,7458
132447736,7459
507682860,7460
761009925,7461
687456815,7462
371784472,7463
865389264,7464
104092876,7465
367567100,7466
222226037,7467
624064328,7468
801853752,7469
732856842,7470
602090909,7471
145976812,7472
629624634,7473
221283906,7474
601266076,7475
410204047,7476
212173745,7477
887675126,7478
134056883,7479
248514454,7480
731981019,7481
555300815,7482
433872866,7483
113128484,7484
461319536,7485
602149839,7486
991256384,7487
108215774,7488
653135401,7489
401053940,7490
106382441,7491
697213030,7492
335698828,7493
777726158,7494
970016199,7495
525963158,7496
586554830,7497
355621975,7498
166952192,7499
846360575,7500
651266718,7501
444665386,7502
328165284,7503
689917232,7504
604476803,7505
307381782,7506
944983549,7507
646209222,7508
885945263,7509
780258204,7510
757006418,7511
574101744,7512
201241092,7513
548808335,7514
796012648,7515
259640834,7516
416049106,7517
133292118,7518
716364746,7519
710976256,7520
462832825,7521
616828298,7522
420362932,7523
139935588,7524
276830243,7525
812055784,7526
211700451,7527
999937202,7528
391526008,7529
867678551,7530
353812422,7531
566967455,7532
418517254,7533
570069888,7534
736244947,7535
707799149,7536
407154894,7537
444503198,7538
225966194,7539
718592517,7540
239519464,7541
595845831,7542
587327077,7543
272993243,7544
289549322,7545
677318584,7546
780849006,7547
496162314,7548
944511737,7549
489080289,7550
187922274,7551
542621122,7552
716242454,7553
904853588,7554
548108260,7555
728111046,7556
443919678,7557
552936314,7558
366915047,7559
330070652,7560
289623425,7561
251348084,7562
431475435,7563
645007746,7564
532451566,7565
791171941,7566
682657038,7567
248430325,7568
571888424,7569
603509919,7570
792127079,7571
875344203,7572
898534780,7573
380850861,7574
671476352,7575
942217267,7576
147555999,7577
868438769,7578
409427146,7579
453335189,7580
377549138,7581
605216813,7582
729019544,7583
494574482,7584
104270534,7585
638163209,7586
602605067,7587
847733651,7588
388246824,7589
864343711,7590
105624914,7591
266692568,7592
513742196,7593
730382404,7594
398495359,7595
997540936,7596
757868883,7597
112255578,7598
557896066,7599
557964904,7600
906724900,7601
716979089,7602
211586632,7603
252418873,7604
269837445,7605
462996606,7606
771492533,7607
527572326,7608
383480167,7609
346138989,7610
488050223,7611
635429870,7612
935697879,7613
217395553,7614
429236609,7615
689528844,7616
745160280,7617
873022776,7618
617093615,7619
529536769,7620
116576310,7621
579866823,7622
962164328,7623
891497241,7624
872124264,7625
200997937,7626
678790085,7627
496620864,7628
933446403,7629
691801540,7630
485487922,7631
101159007,7632
725194975,7633
714936985,7634
827670735,7635
601925873,7636
270289540,7637
979565857,7638
666076372,7639
359013323,7640
428977594,7641
564996131,7642
750926071,7643
289316712,7644
211418628,7645
547600360,7646
617863952,7647
681278151,7648
522551035,7649
775531274,7650
423728474,7651
383867898,7652
774782518,7653
155902991,7654
470208723,7655
628596846,7656
841562940,7657
206546223,7658
283789862,7659
332354446,7660
547169821,7661
649589170,7662
191986680,7663
628907830,7664
790065645,7665
691914590,7666
235012572,7667
921656399,7668
507859251,7669
493666790,7670
476953740,7671
895162547,7672
322527110,7673
481756297,7674
403673758,7675
713053190,7676
529308925,7677
738363921,7678
757166116,7679
340167827,7680
150744507,7681
152156363,7682
238576232,7683
724605441,7684
391918462,7685
911960951,7686
610931475,7687
489900623,7688
852705831,7689
705269718,7690
736259159,7691
165975668,7692
670262815,7693
237337025,7694
683423678,7695
851306930,7696
480724612,7697
882014804,7698
492123791,7699
806553539,7700
238880160,7701
636516726,7702
387010282,7703
281196503,7704
101676517,7705
610775670,7706
385789177,7707
205489476,7708
941648437,7709
344413252,7710
812087827,7711
971268458,7712
480203693,7713
906158254,7714
510916531,7715
974285622,7716
614822220,7717
631053824,7718
827765774,7719
311885918,7720
227844108,7721
990078767,7722
594087123,7723
874296071,7724
754429391,7725
672353431,7726
559711803,7727
562363660,7728
288470486,7729
927516099,7730
449782796,7731
142834451,7732
214207953,7733
629792334,7734
682603096,7735
723132559,7736
534001831,7737
950150557,7738
894610733,7739
139007062,7740
769566467,7741
434324146,7742
732702322,7743
923138112,7744
602340300,7745
724341101,7746
760626899,7747
682174377,7748
975788385,7749
384461529,7750
896730139,7751
673726467,7752
920546261,7753
604521738,7754
965819569,7755
879706641,7756
302944780,7757
600174896,7758
682478274,7759
452686970,7760
167238303,7761
644176678,7762
574810746,7763
523629252,7764
129239407,7765
547642970,7766
214336372,7767
650347460,7768
805252880,7769
501645718,7770
686786314,7771
341427490,7772
408024443,7773
842392428,7774
414460674,7775
466504245,7776
525209075,7777
725891917,7778
861451374,7779
785522551,7780
827946433,7781
821571665,7782
997185211,7783
273510092,7784
207166908,7785
788312875,7786
104389204,7787
549795765,7788
274153892,7789
716269420,7790
932311493,7791
201908265,7792
170158200,7793
820731451,7794
690968880,7795
108129364,7796
498137527,7797
574357102,7798
708781302,7799
162649422,7800
950764735,7801
840872917,7802
626574938,7803
662301176,7804
596060186,7805
932329644,7806
224594964,7807
268983422,7808
836692803,7809
499248918,7810
202489899,7811
231806043,7812
971454928,7813
225327122,7814
742823814,7815
755552177,7816
984087447,7817
533792149,7818
717856290,7819
229215062,7820
292056252,7821
589048267,7822
614535751,7823
587723115,7824
397238311,7825
255523734,7826
918755074,7827
561292206,7828
131511717,7829
682911084,7830
287183453,7831
624837468,7832
376730622,7833
491066443,7834
122407316,7835
916733851,7836
832565376,7837
764714543,7838
495384226,7839
123134237,7840
596110318,7841
795293545,7842
362502481,7843
251513806,7844
462652720,7845
876835377,7846
681920568,7847
495157368,7848
580294161,7849
118967845,7850
687008697,7851
249450740,7852
483246161,7853
957038311,7854
401720999,7855
627789667,7856
998072446,7857
470634797,7858
705962673,7859
559275255,7860
925679878,7861
419871133,7862
276206837,7863
747565539,7864
749123852,7865
266489550,7866
846758473,7867
118330416,7868
805615246,7869
241412893,7870
999945837,7871
176158727,7872
257515644,7873
390938095,7874
871239619,7875
286144275,7876
297881769,7877
904505039,7878
536260152,7879
841055231,7880
427343628,7881
635781488,7882
894511426,7883
689126981,7884
551110477,7885
771054070,7886
831977226,7887
627207497,7888
615361806,7889
299198713,7890
353847745,7891
699886203,7892
906063784,7893
162608453,7894
682478234,7895
132134336,7896
946281752,7897
999462242,7898
567625664,7899
104828519,7900
763642433,7901
854461974,7902
805481517,7903
160584422,7904
576859874,7905
293654588,7906
202380624,7907
727498982,7908
253676825,7909
289109257,7910
839024219,7911
669659623,7912
811749057,7913
909407943,7914
795534308,7915
631836794,7916
193382716,7917
343678369,7918
983703724,7919
907894924,7920
951477775,7921
448246093,7922
346795097,7923
934979453,7924
567624937,7925
273226143,7926
394805706,7927
597913938,7928
203436882,7929
474404453,7930
347990176,7931
945527121,7932
154257881,7933
139241403,7934
342578163,7935
205135569,7936
285969906,7937
506072837,7938
355165964,7939
636495147,7940
864001942,7941
185155593,7942
471030193,7943
403511466,7944
209955061,7945
332947311,7946
420941978,7947
822375429,7948
151499058,7949
140409323,7950
148778984,7951
426847108,7952
859522466,7953
119838452,7954
334928737,7955
435154960,7956
554372206,7957
691434611,7958
380778230,7959
998801812,7960
176385395,7961
323181294,7962
716303137,7963
852694303,7964
639602231,7965
912732049,7966
892382947,7967
991693521,7968
822477416,7969
520398941,7970
374033841,7971
202547694,7972
207704144,7973
727956557,7974
887039963,7975
808925785,7976
104647704,7977
144179297,7978
706591441,7979
503557844,7980
434327021,7981
389881912,7982
630408330,7983
802900743,7984
615734342,7985
306948436,7986
499947688,7987
371936597,7988
856596111,7989
344429316,7990
148829224,7991
578152089,7992
816359979,7993
473193463,7994
318203426,7995
859328901,7996
491881402,7997
509389448,7998
121511868,7999
